
Host: Mac-mini.local

Timers On : Tue Nov 18 11:21:49 2025
Timers Off: Tue Nov 18 11:22:04 2025

Wall Time:       15.01 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w      7 calls
| HF: Form F                        :      0.000u      0.000s      0.000w      7 calls
| HF: Form D                        :      0.000u      0.000s      0.000w      7 calls
| HF: DIIS                          :      0.000u      0.000s      0.012w      6 calls
| HF: Form C                        :      0.050u      0.000s      0.020w      6 calls
SAPT(DFT):Build JK                  :      0.183u      0.000s      0.101w      1 calls
| JK: D                             :      0.000u      0.000s      0.000w      1 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      1 calls
| JK: JK                            :      0.167u      0.000s      0.091w      1 calls
| | JK: J                           :      0.000u      0.000s      0.005w      1 calls
| | | JK: J1                        :      0.000u      0.000s      0.002w      3 calls
| | | JK: J2                        :      0.000u      0.000s      0.003w      3 calls
| | JK: K                           :      0.150u      0.000s      0.086w      1 calls
| | | JK: K1                        :      0.100u      0.000s      0.075w      6 calls
| | | JK: K2                        :      0.050u      0.000s      0.011w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      1 calls
SAPT(DFT):elst                      :      0.000u      0.000s      0.000w      1 calls
SAPT(DFT):exch                      :      0.150u      0.000s      0.097w      1 calls
| JK: D                             :      0.000u      0.000s      0.000w      1 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      1 calls
| JK: JK                            :      0.150u      0.000s      0.094w      1 calls
| | JK: J                           :      0.000u      0.000s      0.005w      1 calls
| | | JK: J1                        :      0.000u      0.000s      0.002w      3 calls
| | | JK: J2                        :      0.000u      0.000s      0.003w      3 calls
| | JK: K                           :      0.150u      0.000s      0.088w      1 calls
| | | JK: K1                        :      0.150u      0.000s      0.078w      6 calls
| | | JK: K2                        :      0.000u      0.000s      0.011w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      1 calls
SAPT(DFT):ind                       :      4.833u      0.050s      2.928w      1 calls
| JK: D                             :      0.000u      0.000s      0.000w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      0.883u      0.033s      0.544w     15 calls
| | JK: J                           :      0.050u      0.000s      0.028w     15 calls
| | | JK: J1                        :      0.033u      0.000s      0.012w     17 calls
| | | JK: J2                        :      0.017u      0.000s      0.015w     17 calls
| | JK: K                           :      0.833u      0.017s      0.500w     15 calls
| | | JK: K1                        :      0.700u      0.000s      0.440w     34 calls
| | | JK: K2                        :      0.133u      0.000s      0.060w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
| RV: Form Vx                       :      3.917u      0.017s      2.362w     14 calls
| | Properties                      :      1.400u      0.000s      0.877w   6160 calls
| | Functional                      :      0.117u      0.000s      0.099w   6160 calls
| | Derivative Properties           :      1.267u      0.000s      0.801w   6160 calls
| | V_XCd                           :      1.033u      0.000s      0.549w   6160 calls
SAPT(DFT):disp                      :      9.317u      0.700s      6.124w      1 calls
| FDDS disp                         :      7.117u      0.467s      4.635w      1 calls
| | Form FDDS object                :      3.250u      0.283s      2.161w      1 calls
| | | Form JS                       :      0.033u      0.000s      0.028w      1 calls
| | | | Libint2ERI::Libint2ERI      :      0.000u      0.000s      0.000w      1 calls
| | | DFH: initialize()             :      0.933u      0.050s      0.588w      2 calls
| | | | DFH: sparsity prep          :      0.183u      0.017s      0.114w      1 calls
| | | | | Libint2ERI::Libint2ERI    :      0.117u      0.017s      0.075w      1 calls
| | | | Libint2ERI::Libint2ERI      :      0.233u      0.000s      0.144w      3 calls
| | | | DFH: AO Construction        :      0.517u      0.033s      0.324w      2 calls
| | | DFH: transform()              :      1.467u      0.150s      0.999w      2 calls
| | | | Libint2ERI::Libint2ERI      :      0.233u      0.017s      0.144w      2 calls
| | | | DFH: Total Workflow         :      0.567u      0.017s      0.350w     18 calls
| | | | | DFH: Total Transform      :      0.567u      0.017s      0.350w     18 calls
| | | | | | DFH: 1st Contraction    :      0.283u      0.000s      0.175w      6 calls
| | | | | | DFH: 2nd Contraction    :      0.283u      0.017s      0.175w     12 calls
| | | | DFH: MO to disk, Qar        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: MO to disk, arQ        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: MO to disk, raQ        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: MO to disk, Qbs        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: MO to disk, bsQ        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: MO to disk, sbQ        :      0.000u      0.000s      0.001w      1 calls
| | | | DFH: Metric Contractions    :      0.667u      0.100s      0.470w      2 calls
| | | | | Libint2ERI::Libint2ERI    :      0.000u      0.000s      0.000w      1 calls
| | | | | DFH: Total Workflow       :      0.583u      0.017s      0.352w     12 calls
| | | | DFH: MO to disk, aaR        :      0.000u      0.000s      0.000w      1 calls
| | | | DFH: MO to disk, arR        :      0.000u      0.000s      0.000w      1 calls
| | | | DFH: MO to disk, bbR        :      0.000u      0.000s      0.000w      1 calls
| | | | DFH: MO to disk, bsR        :      0.000u      0.000s      0.000w      1 calls
| | | | DFH: MO to disk, rrR        :      0.000u      0.000s      0.013w      1 calls
| | | | DFH: MO to disk, ssR        :      0.000u      0.017s      0.013w      1 calls
| | | FDDS: QR                      :      0.067u      0.000s      0.050w      1 calls
| | | FDDS: Form X                  :      0.300u      0.017s      0.200w      1 calls
| | | FDDS: Form Y                  :      0.450u      0.050s      0.294w      1 calls
| | Form xc kernel                  :      1.067u      0.000s      0.660w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.117u      0.000s      0.074w      1 calls
| | Time Integration                :      2.800u      0.167s      1.806w      1 calls
| MP2 disp                          :      2.183u      0.233s      1.480w      1 calls
| | SAPT0: DF Integrals             :      1.200u      0.100s      0.794w      1 calls
| | | Libint2ERI::Libint2ERI        :      0.233u      0.017s      0.148w      4 calls
| | SAPT0: W Integrals              :      0.000u      0.000s      0.002w      1 calls
| | SAPT0: Exch-Disp20 N^5          :      0.183u      0.067s      0.153w      1 calls
| | SAPT0: Exch-Disp20 N^4          :      0.767u      0.067s      0.500w      1 calls

**************************************************************************************
